Buch;Unit;Thema;Deutsch;Englisch
IT Matters;1 - My company;Company;Stellenbezeichnung;job title
IT Matters;1 - My company;Company;Mitglied;member
IT Matters;1 - My company;Company;Bekanntmachung, Vorstellen;introductions
IT Matters;1 - My company;Company;Sitz in;based in
IT Matters;1 - My company;Company;Technik, Ingenieurwissenschaften, Maschinenbau;engineering
IT Matters;1 - My company;Company;Ausbildungsleiter, Ausbildungsleiterin, Abteilungsleiter, Abteilungsleiterin, Vorgesetzter, Vorgesetzte ;supervisor
IT Matters;1 - My company;Company;Kollege, Kollegin;colleague
IT Matters;1 - My company;Company;computergestützt;computerized
IT Matters;1 - My company;Company;Personal ;personnel
IT Matters;1 - My company;Company;Personalakte;personnel file
IT Matters;1 - My company;Company;Geburtsort;place of birth
IT Matters;1 - My company;Company;Stellenbeschreibung;job description
IT Matters;1 - My company;Company;formell, förmlich;formal
IT Matters;1 - My company;Company;geeignet, passend;suitable
IT Matters;1 - My company;Company;vermeiden;to avoid
IT Matters;1 - My company;Company;Krankheit;illness
IT Matters;1 - My company;Company;Politik;politics
IT Matters;1 - My company;Company;Fahrt, Anreise;journey
IT Matters;1 - My company;Company;Bezahlung, Gehalt;pay
IT Matters;1 - My company;Company;Antwort, Reaktion;response
IT Matters;1 - My company;Company;phantastisch, fantastisch, toll;fantastic
IT Matters;1 - My company;Company;Aussicht, Blick;view
IT Matters;1 - My company;Company;tatsächlich, eigentlich;in fact
IT Matters;1 - My company;Company;Verzeihung, Entschuldigung;Excuse me
IT Matters;1 - My company;Company;jemanden aufhalten;to hold up somebody
IT Matters;1 - My company;Company;jemand warten lassen;to keep somebody  waiting
IT Matters;1 - My company;Company;Erfrischung;refreshment
IT Matters;2 - My workplace;Workplace;Arbeitsplatz;workplace
IT Matters;2 - My workplace;Workplace;etwas durchführen;to carry out something
IT Matters;2 - My workplace;Workplace;Maßnahme;measure
IT Matters;2 - My workplace;Workplace;Umfrage;survey
IT Matters;2 - My workplace;Workplace;Kommunkationsmittel;means of communication
IT Matters;2 - My workplace;Workplace;Verbesserng;improvement
IT Matters;2 - My workplace;Workplace;einstufen, bewerten;to rank
IT Matters;2 - My workplace;Workplace;eine Botschaft vermitteln;to get a message across
IT Matters;2 - My workplace;Workplace;und so weiter;and so on
IT Matters;2 - My workplace;Workplace;persönlich;face-to-face
IT Matters;2 - My workplace;Workplace;etwas klären, etwas in Ordnung bringen;to sort something out
IT Matters;2 - My workplace;Workplace;schriftlich;in writing
IT Matters;2 - My workplace;Workplace;SMS;text message
IT Matters;2 - My workplace;Workplace;auf etwas hinauswollen;to get at something
IT Matters;2 - My workplace;Workplace;anhängen ;to attach
IT Matters;2 - My workplace;Workplace;strukturiert;structured
IT Matters;2 - My workplace;Workplace;auf etwas zugreifen;to access something
IT Matters;2 - My workplace;Workplace;überall;all over the place
IT Matters;2 - My workplace;Workplace;Zugriff auf etwas;access to something
IT Matters;2 - My workplace;Workplace;Speicherung;storage
IT Matters;2 - My workplace;Workplace;abgleichen, synchronisieren;to synchronize
IT Matters;2 - My workplace;Workplace;auswählen;to select
IT Matters;2 - My workplace;Workplace;erwähnen;to mention 
IT Matters;2 - My workplace;Workplace;etwas zur Sprache bringen;to bring something up
IT Matters;2 - My workplace;Workplace;Zeit beanspruchen;to take up time
IT Matters;2 - My workplace;Workplace;Folie;slide
IT Matters;2 - My workplace;Workplace;Zeitverschwendung;waste of time
IT Matters;2 - My workplace;Workplace;Arbeitsblatt, Informationsblatt, Merkblatt;hand-out
IT Matters;2 - My workplace;Workplace;etwas in Betracht ziehen, über etwas nachdenken;to consider something
IT Matters;2 - My workplace;Workplace;Grafik;graphic image
IT Matters;2 - My workplace;Workplace;Ideen sammeln;to brainstorm
IT Matters;2 - My workplace;Workplace;Menge, Anzahl;quantity
IT Matters;2 - My workplace;Workplace;Anweisung;instruction
IT Matters;2 - My workplace;Workplace;aufzeichnen, festhalten;to record
IT Matters;2 - My workplace;Workplace;Anhang;attachment
IT Matters;2 - My workplace;Workplace;Personalvermittlung;recruitment
IT Matters;2 - My workplace;Workplace;Zentrale, Hauptsitz;headquarters
IT Matters;2 - My workplace;Workplace;Gesichtspunkt,  Aspekt;aspect
IT Matters;2 - My workplace;Workplace;Bedingung;condition
IT Matters;2 - My workplace;Workplace;fest von etwas überzeugt sein;to be big believers in something
IT Matters;2 - My workplace;Workplace;Gleichgewicht;balance
IT Matters;2 - My workplace;Workplace;passen;to suit something
IT Matters;2 - My workplace;Workplace;variabel, flexibel;flexible
IT Matters;2 - My workplace;Workplace;Jahresurlaub;annual leave
IT Matters;2 - My workplace;Workplace;Krankentage;sick leave
IT Matters;2 - My workplace;Workplace;unbezahlter Urlaub;unpaid leave
IT Matters;2 - My workplace;Workplace;von zu Hause aus arbeiten, ortsungebunden arbeiten;to work remotely
IT Matters;2 - My workplace;Workplace;aufeinander abstimmen, koordinieren;to co-ordinate 
IT Matters;2 - My workplace;Workplace;außerdem;in addition
IT Matters;2 - My workplace;Workplace;Genehmigung, Erlaubnis;permission
IT Matters;2 - My workplace;Workplace;Kleidung;clothing
IT Matters;2 - My workplace;Workplace;sauber, ordentlich;neat
IT Matters;2 - My workplace;Workplace;zwanglos, locker;casual
IT Matters;2 - My workplace;Workplace;Funktionen;functionality
IT Matters;2 - My workplace;Workplace;Bewerber, Bewerberin;applicant
IT Matters;2 - My workplace;Workplace;etwas nachschlagen, etwas nachlesen;to look something up
IT Matters;2 - My workplace;Workplace;mit Abschluss;graduate
IT Matters;2 - My workplace;Workplace;eng mit jemanden zusammenarbeiten;to work closely with somebody
IT Matters;2 - My workplace;Workplace;Prüfdaten;test data
IT Matters;2 - My workplace;Workplace;prüfen, testen;to test
IT Matters;2 - My workplace;Workplace;Mangel, Fehler;defect
IT Matters;2 - My workplace;Workplace;Benutzer, Benutzerin, Anwender, Anwenderin;user
IT Matters;2 - My workplace;Workplace;kreativ;creative
IT Matters;2 - My workplace;Workplace;Ende;finish
IT Matters;2 - My workplace;Workplace;Fahrt zur Arbeit;commute
IT Matters;2 - My workplace;Workplace;aktuelle Informationen;update on something
IT Matters;2 - My workplace;Workplace;etwas ansprechen, auf etwas aufmerksam machen;to raise something
IT Matters;2 - My workplace;Workplace;entfernen, aus dem Weg räumen;to remove
IT Matters;2 - My workplace;Workplace;Hindernis;roadblock
IT Matters;2 - My workplace;Workplace;jemanden aufhalten, jemanden bremsen;to slow somebody down
IT Matters;2 - My workplace;Workplace;sich auf jemanden auswirken;to affect somebody
IT Matters;2 - My workplace;Workplace;zwingen;to force
IT Matters;2 - My workplace;Workplace;Beziehung;relationship
IT Matters;2 - My workplace;Workplace;leicht verständlich;easily understandable
IT Matters;2 - My workplace;Workplace;ausführlich, genau;detailed
IT Matters;2 - My workplace;Workplace;Kommentar;comment
IT Matters;2 - My workplace;Workplace;produktiv;productive
IT Matters;2 - My workplace;Workplace;trennen;to separate
IT Matters;2 - My workplace;Workplace;dafür sorgen, sicherstellen;to ensure
IT Matters;2 - My workplace;Workplace;Hindernis;obstacle
IT Matters;2 - My workplace;Workplace;etwas in Ordnung bringen;to fix
IT Matters;2 - My workplace;Workplace;auf den neusten Stand bringen;to update
IT Matters;2 - My workplace;Workplace;üblich, normal;standard
IT Matters;2 - My workplace;Workplace;Zeitschiene;timeline
IT Matters;2 - My workplace;Workplace;Bericht, Meldung;report
IT Matters;2 - My workplace;Workplace;Schnittstelle;interface
IT Matters;2 - My workplace;Workplace;technische Anforderungen;specification
IT Matters;2 - My workplace;Workplace;Prüfplan;test plan
IT Matters;2 - My workplace;Workplace;Vorlieben und Abneigungen;likes and dislikes
IT Matters;2 - My workplace;Workplace;befestigen, anheften;to pin
IT Matters;2 - My workplace;Workplace;Galerierundgang;gallery walk
IT Matters;2 - My workplace;Workplace;Stadium, Phase;phase
IT Matters;2 - My workplace;Workplace;Rückmeldung;feedback
IT Matters;2 - My workplace;Workplace;Gespräch;conversation
IT Matters;2 - My workplace;Workplace;vorschlagen;to propose
IT Matters;2 - My workplace;Workplace;Richtlinie, Leitfaden;guideline
IT Matters;2 - My workplace;Workplace;Arbeitsergebnisse;output
IT Matters;2 - My workplace;Workplace;Wunsch, Bitte;request
IT Matters;2 - My workplace;Workplace;im Stehen;stand-up
IT Matters;2 - My workplace;Workplace;obwohl;even though
IT Matters;2 - My workplace;Workplace;Tagesordnung;agenda
IT Matters;2 - My workplace;Workplace;etwas auf ein Mindestmaß beschränken;to keep something to a minimum
IT Matters;2 - My workplace;Workplace;spontan;spontaneous
IT Matters;2 - My workplace;Workplace;Frage, Problem;issue
IT Matters;2 - My workplace;Workplace;sich auf etwas konzentrieren;to concentrate on something
IT Matters;2 - My workplace;Workplace;Zeitabschnitt;period of time
IT Matters;2 - My workplace;Workplace;wichtig, unentbehrlich;critical
IT Matters;2 - My workplace;Workplace;die Betriebsleitung;the executives
IT Matters;2 - My workplace;Workplace;kein Papier ;to be paperless
IT Matters;2 - My workplace;Workplace;favorisieren, bevorzugen;to favour
IT Matters;2 - My workplace;Workplace;Vorliebe, Wunsch;preference
IT Matters;2 - My workplace;Workplace;investieren;to invest
